,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
73,Check 6-Charles,11050,C,Full,37,1,13,17,0,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
74,Check 6-Charles,11050,C,Full,37,2,16,13,0,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
75,BS615-45,11052,B,Half,38,1,0,2,4,6,6,12,,,,2020,Snyder,2,19,Winter DH Germination
76,BS615-45,11052,B,Half,38,2,1,2,5,11,3,8,,,,2020,Snyder,2,19,Winter DH Germination
77,BS615-46,11053,B,Full,39,1,0,17,9,3,0,2,,,,2020,Snyder,2,19,Winter DH Germination
78,BS615-46,11053,B,Full,39,2,0,10,15,3,2,0,,,,2020,Snyder,2,19,Winter DH Germination
79,BS615-48,11055,B,Full,40,1,5,13,6,2,1,2,,,,2020,Snyder,2,19,Winter DH Germination
80,BS615-48,11055,B,Full,40,2,5,12,6,3,2,2,,,,2020,Snyder,2,19,Winter DH Germination
81,BS615-49,11056,B,Full,41,1,1,12,12,2,1,2,,,,2020,Snyder,2,19,Winter DH Germination
82,BS615-49,11056,B,Full,41,2,1,9,10,5,3,2,,,,2020,Snyder,2,19,Winter DH Germination
83,BS615-50,11057,B,Half,42,1,0,6,16,4,3,1,,,,2020,Snyder,2,19,Winter DH Germination
84,BS615-50,11057,B,Half,42,2,0,10,12,3,2,3,,,,2020,Snyder,2,19,Winter DH Germination
85,BS615-51,11058,B,Full,43,1,0,1,6,11,3,9,,,,2020,Snyder,2,19,Winter DH Germination
86,BS615-51,11058,B,Full,43,2,1,3,5,8,7,6,,,,2020,Snyder,2,19,Winter DH Germination
87,BS615-52,11059,B,Half,44,1,0,6,16,4,2,2,,,,2020,Snyder,2,19,Winter DH Germination
88,BS615-52,11059,B,Half,44,2,0,7,11,9,1,2,,,,2020,Snyder,2,19,Winter DH Germination
89,BS615-53,11060,B,Full,45,1,6,13,5,4,1,1,,,,2020,Snyder,2,19,Winter DH Germination
90,BS615-53,11060,B,Full,45,2,4,9,10,6,0,1,,,,2020,Snyder,2,19,Winter DH Germination
91,BS615-54,11061,B,Half,46,1,0,17,6,2,2,3,,,,2020,Snyder,2,19,Winter DH Germination
92,BS615-54,11061,B,Half,46,2,2,19,6,1,1,1,,,,2020,Snyder,2,19,Winter DH Germination
93,BS615-55,11062,B,Full,47,1,2,13,9,1,2,3,,,,2020,Snyder,2,19,Winter DH Germination
94,BS615-55,11062,B,Full,47,2,1,12,12,3,0,2,,,,2020,Snyder,2,19,Winter DH Germination
95,BS615-56,11063,B,Half,48,1,1,10,8,5,1,5,,,,2020,Snyder,2,19,Winter DH Germination
96,BS615-56,11063,B,Half,48,2,0,14,5,3,3,5,,,,2020,Snyder,2,19,Winter DH Germination
97,BS615-57,11064,B,Half,49,1,1,10,14,5,0,0,,,,2020,Snyder,2,19,Winter DH Germination
98,BS615-57,11064,B,Half,49,2,0,16,9,3,2,0,,,,2020,Snyder,2,19,Winter DH Germination
99,BS616-58,11065,B,Full,50,1,0,10,12,3,4,1,,,,2020,Snyder,2,19,Winter DH Germination
100,BS616-58,11065,B,Full,50,2,0,12,13,4,0,1,,,,2020,Snyder,2,19,Winter DH Germination
101,BS616-59,11066,B,Half,51,1,0,3,15,7,3,3,,,,2020,Snyder,2,19,Winter DH Germination
102,BS616-59,11066,B,Half,51,2,0,10,9,3,3,4,,,,2020,Snyder,2,19,Winter DH Germination
103,BS616-60,11067,B,Half,52,1,0,1,6,16,6,1,,,,2020,Snyder,2,19,Winter DH Germination
104,BS616-60,11067,B,Half,52,2,0,1,2,16,7,4,,,,2020,Snyder,2,19,Winter DH Germination
105,BS616-61,11068,B,Half,53,1,0,1,10,14,3,2,,,,2020,Snyder,2,19,Winter DH Germination
106,BS616-61,11068,B,Half,53,2,0,0,9,12,7,2,,,,2020,Snyder,2,19,Winter DH Germination
107,BS616-62,11069,B,Full,54,1,0,1,12,11,1,5,,,,2020,Snyder,2,19,Winter DH Germination
108,BS616-62,11069,B,Full,54,2,0,2,9,8,5,6,,,,2020,Snyder,2,19,Winter DH Germination
109,BS616-63,11070,B,Half,55,1,4,13,6,3,1,2,,,,2020,Snyder,2,19,Winter DH Germination
110,BS616-63,11070,B,Half,55,2,3,16,8,1,0,2,,,,2020,Snyder,2,19,Winter DH Germination
111,BS616-64,11071,B,Full,56,1,0,7,10,7,4,2,,,,2020,Snyder,2,19,Winter DH Germination
112,BS616-64,11071,B,Full,56,2,1,12,7,7,3,0,,,,2020,Snyder,2,19,Winter DH Germination
113,BS616-66,11073,B,Full,57,1,0,3,4,6,10,7,,,,2020,Snyder,2,19,Winter DH Germination
114,BS616-66,11073,B,Full,57,2,0,1,3,9,6,11,,,,2020,Snyder,2,19,Winter DH Germination
115,BS616-67,11074,B,Half,58,1,0,8,13,8,1,1,,,,2020,Snyder,2,19,Winter DH Germination
116,BS616-67,11074,B,Half,58,2,0,10,17,3,0,0,,,,2020,Snyder,2,19,Winter DH Germination
117,BS616-68,11075,B,Full,59,1,0,3,8,16,2,2,,,,2020,Snyder,2,19,Winter DH Germination
118,BS616-68,11075,B,Full,59,2,0,2,14,9,3,3,,,,2020,Snyder,2,19,Winter DH Germination
119,BS616-69,11076,B,Full,60,1,3,21,4,2,0,0,,,,2020,Snyder,2,19,Winter DH Germination
120,BS616-69,11076,B,Full,60,2,4,23,3,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
121,BS616-70,11077,B,Half,61,1,0,0,4,4,5,17,,,,2020,Snyder,2,19,Winter DH Germination
122,BS616-70,11077,B,Half,61,2,0,0,0,2,9,19,,,,2020,Snyder,2,19,Winter DH Germination
123,BS616-71,11078,B,Full,62,1,0,2,10,3,3,12,,,,2020,Snyder,2,19,Winter DH Germination
124,BS616-71,11078,B,Full,62,2,1,5,7,2,5,10,,,,2020,Snyder,2,19,Winter DH Germination
125,BS616-72,11079,B,Half,63,1,0,3,9,9,2,7,,,,2020,Snyder,2,19,Winter DH Germination
126,BS616-72,11079,B,Half,63,2,1,4,12,6,4,3,,,,2020,Snyder,2,19,Winter DH Germination
127,BS616-73,11080,B,Half,64,1,0,2,6,6,6,9,,,,2020,Snyder,2,19,Winter DH Germination
128,BS616-73,11080,B,Half,64,2,0,2,5,9,9,5,,,,2020,Snyder,2,19,Winter DH Germination
129,BS616-74,11081,B,Full,65,1,0,2,11,9,5,3,,,,2020,Snyder,2,19,Winter DH Germination
130,BS616-74,11081,B,Full,65,2,0,4,13,11,0,2,,,,2020,Snyder,2,19,Winter DH Germination
131,BS616-75,11082,B,Full,66,1,0,3,8,7,4,8,,,,2020,Snyder,2,19,Winter DH Germination
132,BS616-75,11082,B,Full,66,2,0,5,9,3,6,7,,,,2020,Snyder,2,19,Winter DH Germination
133,BS616-78,11085,B,Half,67,1,2,8,13,3,2,2,,,,2020,Snyder,2,19,Winter DH Germination
134,BS616-78,11085,B,Half,67,2,1,12,12,1,2,2,,,,2020,Snyder,2,19,Winter DH Germination
135,BS616-79,11086,B,Full,68,1,0,9,9,5,3,3,,,,2020,Snyder,2,19,Winter DH Germination
136,BS616-79,11086,B,Full,68,2,1,8,7,4,5,5,,,,2020,Snyder,2,19,Winter DH Germination
137,BS710-2,11088,B,Full,69,1,2,20,7,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
138,BS710-2,11088,B,Full,69,2,10,13,6,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
139,BS710-7,11093,B,Full,70,1,1,17,8,1,2,1,,,,2020,Snyder,2,19,Winter DH Germination
140,BS710-7,11093,B,Full,70,2,4,12,10,1,1,2,,,,2020,Snyder,2,19,Winter DH Germination
141,BS710-8,11094,B,Full,71,1,8,19,2,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
