taxa,PC1,PC2
BS616-63,-3.85348729417207,33.1119384837911
BS616-64,-29.2306422343202,-19.3327428108872
BS616-65,-34.8515381079366,19.6558267808525
BS616-66,-34.2522011095857,14.9831313119135
BS616-67,-6.46438613565244,38.6719312275519
BS616-68,-5.18683286754926,-22.1555939779012
BS616-69,-14.683938198647,36.7969386837689
BS616-70,-10.0112012417742,-22.211636846927
BS616-71,-1.64406935722219,-19.404792007404
BS616-72,-25.7480863542885,20.28636336797
BS616-73,-8.68369219172446,38.5669094066246
BS616-74,-43.6979215145959,-22.3686482897868
BS616-75,-1.51330233519944,28.7535074802182
BS911-119,-10.625672149151,27.5375446268391
BS616-77,-36.8139296401261,-16.6080758415533
BS616-78,-41.5595826329397,25.3542860480544
BS616-79,-10.7415332545819,45.5066402394121
BS710-1,-5.46705563583014,-21.7547783309001
BS710-2,-43.2698119782582,-27.9141433139036
BS710-3,-41.3850478020727,-26.6763871087168
BS710-4,-40.4904660960869,-31.4954112256307
BS911-120,-10.625672149151,27.5375446268391
BS911-121,-47.294321636897,-22.2112581967509
BS710-7,-10.6590155184322,39.7791988333858
BS710-8,-4.23690337131002,32.7861985573233
BS710-9,-30.4801143678748,23.2996696786729
BS710-10,-26.4370782435702,-21.9669860817005
BS710-11,-20.386846082633,-23.547391424416
BS710-12,-31.4204444576396,16.5188174882345
BS710-13,-24.2083394374346,23.0841262542303
BS912-138,-10.2617215170825,36.2372922095659
BS710-15,-4.47379905296986,-19.7388335289019
BS710-16,-14.9233203755844,-18.0715903313236
BS911-122,-5.9660609813144,-11.6089009442667
BS710-18,-23.980267683273,11.5303210092718
BS710-19,-0.894999746534239,-8.83906036326506
BS911-123,-5.96366385657882,33.0121987548003
BS710-21,-0.13830850735468,32.193651335585
BS710-22,-19.5824571496768,-19.1271136504917
BS710-23,0.563079329846507,35.1662717913209
BS710-24,-44.6066263371695,-22.5514911886787
BS710-25,1.2814238879668,-16.2387556863
BS710-26,-12.4735271390058,24.7271877641747
BS710-27,-9.72305659488817,-16.8846812291462
BS710-28,-27.789515806774,24.0276376708528
BS710-29,-2.2303842128541,30.1729812325569
BS710-30,-37.25963353316,-25.8816698975644
BS710-31,-35.5614173615306,-30.3177575971987
BS710-32,-14.0249094105551,-15.5003809266429
BS710-33,-14.8443398487818,-25.6152112158479
BS710-34,-7.23033353772155,-23.9531264311845
BS710-35,-26.092866243293,24.9761991939764
BS710-36,-3.81931379736362,25.0763318935515
BS710-37,-32.244965616061,12.2268673185608
BS911-124,-12.2881933733006,37.8666859876258
BS710-39,3.32313710100795,-14.0314231885611
BS710-40,-1.86799360781819,31.0463232935042
BS710-41,-1.94066128565811,19.1071571407435
BS710-42,-35.0052624717612,-30.8262893594654
BS710-43,-3.56603555971724,-16.5265430772654
BS710-44,1.41837895610957,-8.02888076330481
BS710-45,-11.0305848918283,34.7505942755615
BS710-46,-7.99444189992672,29.4755865637801
BS710-47,-4.59455317054684,27.6853056358594
BS710-48,-1.09297657424482,-8.6112532983455
BS710-49,-21.1076183934833,18.4460050391265
BS710-50,-36.0522441525448,6.4982106661129
BS710-51,1.8154140112694,34.3586111357013
BS710-52,-9.90230865469256,-24.3234633716177
BS710-53,-8.70180160480884,35.3751183863309
