"","Order","Entry","PLOT","Full_sample","Check","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","Mold_kern","Check","Cooler","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","note","Location","Year","Timepoint","PM_at_plating","Experiment"
"71",71,"BS615-41","11046","Full","B",33,2,10,18,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"72",72,"BS615-41","11046","Full","B",33,1,5,19,6,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"73",73,"BS615-42","11047","Full","B",34,2,6,21,3,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"74",74,"BS615-42","11047","Full","B",34,1,6,23,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"75",75,"BS615-43","11048","Half","B",35,2,11,17,0,0,1,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"76",76,"BS615-43","11048","Half","B",35,1,14,14,1,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"77",77,"BS615-44","11049","Half","B",36,2,10,16,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"78",78,"BS615-44","11049","Half","B",36,1,6,21,3,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"79",79,"Check 6-Charles","11050","Full","C",37,2,20,10,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"80",80,"Check 6-Charles","11050","Full","C",37,1,20,10,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"81",81,"BS615-45","11052","Half","B",38,2,4,15,7,3,1,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"82",82,"BS615-45","11052","Half","B",38,1,3,20,4,2,1,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"83",83,"BS615-46","11053","Full","B",39,2,7,21,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"84",84,"BS615-46","11053","Full","B",39,1,10,20,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"85",85,"BS615-48","11055","Full","B",40,2,15,13,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"86",86,"BS615-48","11055","Full","B",40,1,11,17,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"87",87,"BS615-49","11056","Full","B",41,2,9,15,4,0,0,2,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"88",88,"BS615-49","11056","Full","B",41,1,8,22,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"89",89,"BS615-50","11057","Half","B",42,2,6,24,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"90",90,"BS615-50","11057","Half","B",42,1,4,24,1,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"91",91,"BS615-51","11058","Full","B",43,2,7,21,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"92",92,"BS615-51","11058","Full","B",43,1,4,26,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"93",93,"BS615-52","11059","Half","B",44,2,6,24,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"94",94,"BS615-52","11059","Half","B",44,1,8,22,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"95",95,"BS615-53","11060","Full","B",45,2,8,20,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"96",96,"BS615-53","11060","Full","B",45,1,9,19,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"97",97,"BS615-54","11061","Half","B",46,2,8,22,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
