,Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,KernelsLeft,User_Day1_2,User_Day3,User_Day4_5,Mold_kern?,notes
103,BS710-27,11118,Full,77,1,0,0,1,2,9,23,DS,DS,KK,0,
104,BS710-27,11118,Full,77,2,0,0,1,2,3,23,DS,DS,KK,0,
105,BS710-30,11121,Full,79,1,0,3,8,7,5,7,DS,DS,KK,0,
106,BS710-30,11121,Full,79,2,0,2,9,7,5,7,DS,DS,KK,1,
107,BS710-33,11124,Full,82,1,1,1,3,13,10,7,DS,DS,KK,0,
108,BS710-33,11124,Full,82,2,1,3,2,4,7,12,DS,DS,KK,0,
109,BS710-41,11132,Full,86,1,0,0,1,3,5,21,DS,DS,KK,0,
110,BS710-41,11132,Full,86,2,0,0,2,2,8,18,DS,DS,KK,0,
111,BS710-46,11137,Full,90,1,0,1,10,10,3,5,DS,DS,KK,0,
112,BS710-46,11137,Full,90,2,0,6,8,10,2,4,DS,DS,KK,0,
113,BS710-48,11139,Full,92,1,0,0,1,5,11,13,DS,DS,KK,0,
114,BS710-48,11139,Full,92,2,0,0,0,2,10,18,DS,DS,KK,0,
115,BS710-50,11141,Full,94,1,1,11,9,2,4,3,DS,DS,KK,0,
116,BS710-50,11141,Full,94,2,1,11,7,6,3,2,DS,DS,KK,0,
117,BS710-57,11148,Full,99,1,0,6,14,7,1,3,DS,DS,KK,0,
118,BS710-57,11148,Full,99,2,0,7,14,4,1,4,DS,DS,KK,0,
119,BS710-58,11149,Full,100,1,0,0,6,5,6,13,DS,DS,KK,0,
120,BS710-58,11149,Full,100,2,0,0,5,6,4,15,DS,DS,KK,0,
121,Check 6-Charles,11150,Full,101,1,20,10,0,0,0,0,DS,DS,KK,0,
122,Check 6-Charles,11150,Full,101,2,22,8,0,0,0,0,DS,DS,KK,0,
123,BS710-64,11157,Full,106,1,0,0,0,0,3,27,DS,DS,KK,0,
124,BS710-64,11157,Full,106,2,0,0,2,0,5,23,DS,DS,KK,0,
125,BS710-66,11159,Full,107,1,6,8,11,5,0,0,DS,DS,KK,0,
126,BS710-66,11159,Full,107,2,5,11,3,3,1,2,DS,DS,KK,0,
127,BS712-68,11161,Full,109,1,0,11,5,7,3,3,DS,DS,KK,0,
128,BS712-68,11161,Full,109,2,0,8,12,4,3,2,DS,DS,KK,0,
129,BS712-69,11162,Full,110,1,0,0,1,7,6,16,DS,DS,KK,0,
130,BS712-69,11162,Full,110,2,0,0,1,5,11,14,DS,DS,KK,0,
131,BS712-70,11163,Full,111,1,0,0,1,1,5,23,DS,DS,KK,0,
132,BS712-70,11163,Full,111,2,0,1,0,0,2,27,DS,DS,KK,0,
133,BS712-74,11167,Full,114,1,1,7,10,5,2,5,DS,DS,KK,0,
134,BS712-74,11167,Full,114,2,0,2,11,7,8,2,DS,DS,KK,1,
135,BS713-75,11168,Full,115,1,0,0,4,5,4,15,DS,DS,KK,0,
136,BS713-75,11168,Full,115,2,0,0,3,8,9,10,DS,DS,KK,0,
137,BS713-78,11171,Full,116,1,0,13,9,3,2,3,DS,DS,KK,0,
138,BS713-78,11171,Full,116,2,0,14,10,3,3,0,DS,DS,KK,0,
139,BS713-84,11177,Full,121,1,0,0,2,8,5,15,DS,DS,KK,0,
140,BS713-84,11177,Full,121,2,0,0,1,2,11,15,DS,DS,KK,0,
141,BS713-90,11183,Full,124,1,0,0,9,6,5,8,DS,DS,KK,0,
142,BS713-90,11183,Full,124,2,0,0,5,6,12,7,DS,DS,KK,0,
143,BS713-91,11184,Full,125,1,0,0,2,9,9,10,DS,DS,KK,0,
144,BS713-91,11184,Full,125,2,0,5,4,5,5,11,DS,DS,KK,0,
145,BS713-93,11186,Full,127,1,0,0,2,9,8,12,DS,DS,KK,0,
146,BS713-93,11186,Full,127,2,0,1,6,11,7,5,DS,DS,KK,0,
147,BS713-95,11188,Full,129,1,0,0,0,1,4,25,DS,DS,KK,0,
148,BS713-95,11188,Full,129,2,0,0,0,1,5,24,DS,DS,KK,0,
149,BS713-96,11189,Full,130,1,0,0,1,7,11,11,DS,DS,KK,0,
150,BS713-96,11189,Full,130,2,0,0,1,7,9,13,DS,DS,KK,0,
151,BS713-98,11191,Full,132,1,0,3,9,7,10,1,DS,DS,KK,0,
152,BS713-98,11191,Full,132,2,0,4,10,6,2,7,DS,DS,KK,0,
153,BS713-102,11195,Full,135,1,0,0,1,4,3,22,DS,DS,KK,0,
154,BS713-102,11195,Full,135,2,0,0,1,1,4,24,DS,DS,KK,0,
155,BS713-104,11197,Full,136,1,0,0,4,10,5,9,DS,DS,KK,0,
156,BS713-104,11197,Full,136,2,0,0,2,14,6,8,DS,DS,KK,0,
157,BS713-106,11199,Full,137,1,0,1,4,5,5,14,DS,DS,KK,0,
158,BS713-106,11199,Full,137,2,0,1,4,6,5,13,DS,DS,KK,0,
159,Check 1-Flavia,11200,Full,138,1,0,11,12,1,1,5,DS,DS,KK,0,
160,Check 1-Flavia,11200,Full,138,2,1,2,9,4,5,4,DS,DS,KK,0,
161,Check 3-DH130910,11202,Full,139,1,0,0,2,4,5,14,DS,DS,KK,0,
162,Check 3-DH130911,11202,Full,139,2,0,0,2,4,10,14,DS,DS,KK,1,
163,BS713-108,11206,Full,140,1,0,4,4,4,10,8,DS,DS,KK,0,
164,BS713-108,11206,Full,140,2,0,5,7,8,4,6,DS,DS,KK,0,
165,BS713-109,11207,Full,141,1,0,0,0,3,10,17,DS,DS,KK,0,
166,BS713-109,11207,Full,141,2,0,0,1,4,14,12,DS,DS,KK,0,
167,BS713-110,11208,Full,142,1,0,2,5,6,8,9,DS,DS,KK,0,
168,BS713-110,11208,Full,142,2,0,3,2,7,10,8,DS,DS,KK,0,
169,BS713-112,11210,Full,143,1,0,0,5,3,5,16,DS,DS,KK,0,
170,BS713-112,11210,Full,143,2,0,0,2,2,12,14,DS,DS,KK,0,
171,BS713-113,11211,Full,144,1,0,0,3,1,9,17,DS,DS,KK,0,
172,BS713-113,11211,Full,144,2,0,0,5,4,8,13,DS,DS,KK,0,
173,BS714-123,11221,Full,146,1,0,0,0,1,4,25,DS,DS,KK,0,
174,BS714-123,11221,Full,146,2,0,0,0,0,0,30,DS,DS,KK,0,
175,BS714-124,11222,Full,147,1,0,1,2,5,5,16,DS,DS,KK,0,
176,BS714-124,11222,Full,147,2,0,1,6,3,5,15,DS,DS,KK,0,
177,BS714-125,11223,Full,148,1,0,0,2,2,7,19,DS,DS,KK,0,
178,BS714-125,11223,Full,148,2,0,0,3,1,5,21,DS,DS,KK,0,
179,BS714-128,11226,Full,150,1,0,3,2,5,4,21,DS,DS,KK,0,
180,BS714-128,11226,Full,150,2,0,0,3,7,4,21,DS,DS,KK,0,
181,BS715-136,11234,Full,153,1,0,0,1,6,6,17,KK,KK,KK,0,
182,BS715-136,11234,Full,153,2,0,0,1,6,7,16,KK,KK,KK,0,
183,BS715-139,11237,Full,156,1,0,2,5,8,4,11,KK,KK,KK,0,
184,BS715-139,11237,Full,156,2,0,2,6,9,6,7,KK,KK,KK,0,
185,BS715-140,11238,Full,157,1,0,4,16,5,2,3,KK,KK,KK,0,
186,BS715-140,11238,Full,157,2,0,7,12,11,0,0,KK,KK,KK,0,
187,BS715-142,11240,Full,158,1,0,0,0,8,5,17,KK,KK,KK,0,
188,BS715-142,11240,Full,158,2,0,0,2,9,2,17,KK,KK,KK,0,
189,BS715-144,11242,Full,160,1,3,12,4,4,1,6,KK,KK,KK,0,
190,BS715-144,11242,Full,160,2,13,6,4,2,0,5,KK,KK,KK,0,
191,BS807-1,11244,Full,162,1,0,0,0,2,6,22,KK,KK,KK,0,
192,BS807-1,11244,Full,162,2,0,0,1,1,5,23,KK,KK,KK,0,
193,BS807-3,11246,Full,164,1,0,0,2,6,9,13,KK,KK,KK,0,
194,BS807-3,11246,Full,164,2,0,0,2,4,6,20,KK,KK,KK,0,
195,Check 6-Charles,11250,Full,167,1,14,16,0,0,0,0,KK,KK,KK,0,
196,Check 6-Charles,11250,Full,167,2,14,16,0,0,0,0,KK,KK,KK,0,
197,BS810-7,11252,Full,168,1,0,0,5,14,3,8,KK,KK,KK,0,
198,BS810-7,11252,Full,168,2,0,0,3,9,8,10,KK,KK,KK,0,
199,BS810-16,11261,Full,173,1,0,0,1,7,11,11,KK,KK,KK,0,
200,BS810-16,11261,Full,173,2,0,0,2,15,6,7,KK,KK,KK,0,
201,BS811-19,11264,Full,176,1,0,0,1,3,9,17,KK,KK,KK,0,
202,BS811-19,11264,Full,176,2,0,0,0,8,9,13,KK,KK,KK,0,
203,BS811-24,11269,Full,181,1,0,0,4,18,6,2,KK,KK,KK,0,
204,BS811-24,11269,Full,181,2,0,0,6,16,4,4,KK,KK,KK,0,
205,BS811-25,11270,Full,182,1,0,0,0,5,6,14,KK,KK,KK,0,
206,BS811-25,11270,Full,182,2,0,0,0,4,11,15,KK,KK,KK,0,
207,BS811-26,11271,Full,183,1,0,8,5,8,4,5,KK,KK,KK,0,
208,BS811-26,11271,Full,183,2,1,7,7,4,4,7,KK,KK,KK,0,
209,BS811-32,11277,Full,189,1,0,1,0,2,9,18,KK,KK,KK,0,
210,BS811-32,11277,Full,189,2,0,0,1,2,1,26,KK,KK,KK,0,
211,BS811-36,11281,Full,192,1,0,0,2,5,7,16,KK,KK,KK,0,
212,BS811-36,11281,Full,192,2,0,0,2,8,10,10,KK,KK,KK,0,
213,BS811-39,11284,Full,195,1,0,0,7,11,9,3,KK,KK,KK,0,
214,BS811-39,11284,Full,195,2,0,3,4,12,8,3,KK,KK,KK,0,
215,BS811-40,11285,Full,196,1,0,2,6,7,7,8,KK,KK,KK,0,
216,BS811-40,11285,Full,196,2,0,0,9,9,7,5,KK,KK,KK,0,
217,BS811-42,11287,Full,198,1,0,0,2,2,8,18,KK,KK,KK,0,
218,BS811-42,11287,Full,198,2,0,0,0,2,5,23,KK,KK,KK,0,
219,BS811-43,11288,Full,199,1,0,0,1,1,5,23,KK,KK,KK,0,
220,BS811-43,11288,Full,199,2,0,0,1,3,3,23,KK,KK,KK,0,
221,BS812-45,11290,Full,201,1,0,14,8,3,4,1,KK,KK,KK,0,
222,BS812-45,11290,Full,201,2,0,7,13,7,2,0,KK,KK,KK,0,
223,BS812-46,11291,Full,202,1,0,1,3,12,10,4,KK,KK,KK,0,
224,BS812-46,11291,Full,202,2,0,2,3,12,10,3,KK,KK,KK,0,
225,BS812-47,11292,Full,203,1,0,0,0,1,16,13,KK,KK,KK,0,
226,BS812-47,11292,Full,203,2,0,0,1,4,8,17,KK,KK,KK,0,
227,BS812-48,11293,Full,204,1,0,0,2,6,6,16,KK,KK,KK,0,
228,BS812-48,11293,Full,204,2,0,0,0,3,3,24,KK,KK,KK,0,
229,BS812-49,11294,Full,205,1,4,16,7,1,1,1,KK,KK,KK,0,
230,BS812-49,11294,Full,205,2,11,10,5,3,0,1,KK,KK,KK,0,
231,BS812-52,11297,Full,207,1,0,0,1,7,9,13,KK,KK,KK,0,
232,BS812-52,11297,Full,207,2,0,0,2,8,6,14,KK,KK,KK,0,
233,BS812-54,11299,Full,209,1,0,0,3,7,7,13,KK,KK,KK,0,
234,BS812-54,11299,Full,209,2,0,1,3,15,7,4,KK,KK,KK,0,
235,Check 1-Flavia,11300,Full,210,1,1,10,13,2,2,2,KK,KK,KK,0,
236,Check 1-Flavia,11300,Full,210,2,1,7,12,4,1,5,KK,KK,KK,0,
237,Check 3-DH130912,11302,Full,211,1,0,0,2,12,6,10,KK,KK,KK,0,
238,Check 3-DH130913,11302,Full,211,2,0,2,6,6,6,10,KK,KK,KK,0,
239,BS812-57,11307,Full,214,1,0,0,0,5,13,12,KK,KK,KK,0,
240,BS812-57,11307,Full,214,2,0,0,0,5,7,18,KK,KK,KK,0,
241,BS812-59,11309,Full,216,1,1,5,9,14,1,0,KK,KK,KK,0,
242,BS812-59,11309,Full,216,2,0,6,8,9,6,1,KK,KK,KK,0,
243,BS812-61,11311,Full,218,1,0,2,4,11,6,7,KK,KK,KK,0,
244,BS812-61,11311,Full,218,2,0,2,3,10,11,4,KK,KK,KK,0,
245,BS812-63,11313,Full,220,1,0,0,0,3,14,13,KK,KK,KK,0,
246,BS812-63,11313,Full,220,2,0,0,0,4,11,15,KK,KK,KK,0,
247,BS812-65,11315,Full,221,1,0,0,0,1,3,26,KK,KK,KK,0,
248,BS812-65,11315,Full,221,2,0,0,1,2,5,22,KK,KK,KK,0,
249,BS812-66,11316,Full,222,1,0,1,1,2,4,23,KK,KK,KK,0,
250,BS812-66,11316,Full,222,2,0,0,2,5,7,16,KK,KK,KK,0,
251,BS812-67,11317,Full,223,1,0,0,0,2,6,23,KK,KK,KK,0,
252,BS812-67,11317,Full,223,2,0,0,0,3,9,19,KK,KK,KK,0,
253,BS812-68,11318,Full,224,1,0,0,4,6,4,16,KK,KK,KK,0,
254,BS812-68,11318,Full,224,2,0,0,2,7,6,10,KK,KK,KK,0,
255,BS812-69,11319,Full,225,1,0,0,0,6,11,13,KK,KK,KK,0,
256,BS812-69,11319,Full,225,2,0,0,1,10,8,11,KK,KK,KK,0,
257,BS812-70,11320,Full,226,1,0,0,1,3,7,19,KK,KK,KK,0,
258,BS812-70,11320,Full,226,2,0,0,1,1,5,23,KK,KK,KK,0,
259,BS812-71,11321,Full,227,1,0,0,4,8,6,11,KK,KK,KK,0,
260,BS812-71,11321,Full,227,2,0,0,1,3,12,14,KK,KK,KK,0,
261,BS812-73,11323,Full,229,1,0,4,8,9,6,3,KK,KK,KK,0,
262,BS812-73,11323,Full,229,2,0,2,9,8,5,5,KK,KK,KK,0,
263,BS812-76,11326,Full,230,1,0,4,2,10,7,7,KK,KK,KK,0,
264,BS812-76,11326,Full,230,2,2,2,1,7,7,11,KK,KK,KK,0,
265,BS812-77,11327,Full,231,1,0,0,8,11,8,3,KK,KK,KK,0,
266,BS812-77,11327,Full,231,2,0,4,6,6,3,11,KK,KK,KK,0,
267,BS812-79,11329,Full,232,1,9,0,0,1,1,28,KK,KK,KK,0,
268,BS812-79,11329,Full,232,2,0,0,0,0,1,29,KK,KK,KK,0,
269,BS812-80,11330,Full,233,1,2,14,9,4,1,0,KK,KK,KK,0,
270,BS812-80,11330,Full,233,2,1,19,8,1,0,1,KK,KK,KK,0,
271,BS813-86,11336,Full,236,1,3,6,10,7,3,1,KK,KK,KK,0,
272,BS813-86,11336,Full,236,2,0,10,8,5,2,4,KK,KK,KK,0,
273,BS813-88,11338,Full,238,1,0,2,2,6,7,13,KK,KK,KK,0,
274,BS813-88,11338,Full,238,2,0,0,5,6,5,14,KK,KK,KK,0,
275,BS813-90,11340,Full,239,1,0,1,3,12,6,8,KK,KK,KK,0,
276,BS813-90,11340,Full,239,2,0,0,4,7,12,7,KK,KK,KK,0,
277,BS813-91,11341,Full,240,1,1,4,10,9,3,3,KK,KK,KK,0,
278,BS813-91,11341,Full,240,2,0,3,13,11,3,0,KK,KK,KK,0,
279,BS813-94,11344,Full,243,1,0,0,0,0,3,27,KK,KK,KK,0,
280,BS813-94,11344,Full,243,2,0,0,0,0,3,27,KK,KK,KK,0,
281,BS813-95,11345,Full,244,1,0,0,1,7,6,16,KK,KK,KK,0,
282,BS813-95,11345,Full,244,2,0,0,4,4,2,20,KK,KK,KK,0,
283,BS813-99,11349,Full,248,1,0,0,0,4,10,16,KK,KK,KK,0,
284,BS813-99,11349,Full,248,2,0,0,1,6,8,15,KK,KK,KK,0,
285,Check 6-Charles,11350,Full,249,1,7,12,2,4,4,1,KK,KK,KK,0,
286,Check 6-Charles,11350,Full,249,2,10,5,4,4,4,3,KK,KK,KK,0,
287,BS813-100,11352,Full,250,1,0,0,2,11,8,9,KK,KK,KK,0,
288,BS813-100,11352,Full,250,2,0,0,1,9,9,11,KK,KK,KK,0,
289,BS813-101,11353,Full,251,1,0,0,4,7,14,5,KK,KK,KK,0,
290,BS813-101,11353,Full,251,2,0,0,3,13,9,5,KK,KK,KK,0,
291,BS813-103,11355,Full,253,1,0,0,1,1,5,23,KK,KK,KK,0,
292,BS813-103,11355,Full,253,2,0,0,1,1,4,24,KK,KK,KK,0,
293,BS813-107,11359,Full,255,1,0,17,9,1,1,2,KK,KK,KK,0,
294,BS813-107,11359,Full,255,2,0,12,10,6,1,0,KK,KK,KK,0,
295,BS813-110,11362,Full,258,1,0,1,0,0,4,25,KK,KK,KK,0,
296,BS813-110,11362,Full,258,2,0,0,1,2,6,21,KK,KK,KK,0,
297,BS813-111,11363,Full,259,1,0,0,5,9,10,6,KK,KK,KK,0,
298,BS813-111,11363,Full,259,2,0,0,4,5,11,10,KK,KK,KK,0,
