,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
76,BS616-66,11073,Full,B,57,2,0,0,1,3,5,21,NA,,,2020,Snyder,1,5,Winter DH Germination
77,BS616-68,11075,Full,B,59,1,0,0,8,7,3,13,1,,,2020,Snyder,1,5,Winter DH Germination
78,BS616-68,11075,Full,B,59,2,0,0,6,8,5,11,NA,,,2020,Snyder,1,5,Winter DH Germination
79,BS616-69,11076,Full,B,60,1,0,11,15,2,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
80,BS616-69,11076,Full,B,60,2,1,17,7,3,2,0,NA,,,2020,Snyder,1,5,Winter DH Germination
82,BS616-71,11078,Full,B,62,2,0,0,6,3,5,16,NA,,,2020,Snyder,1,5,Winter DH Germination
81,BS616-71,11078,Full,B,62,1,0,2,4,7,4,13,NA,,,2020,Snyder,1,5,Winter DH Germination
83,BS616-74,11081,Full,B,65,1,0,1,5,6,9,9,NA,,,2020,Snyder,1,5,Winter DH Germination
84,BS616-74,11081,Full,B,65,2,0,0,4,13,9,4,NA,,,2020,Snyder,1,5,Winter DH Germination
85,BS616-75,11082,Full,B,66,1,0,2,2,2,5,19,2,,,2020,Snyder,1,5,Winter DH Germination
86,BS616-75,11082,Full,B,66,2,0,0,4,2,13,11,NA,,,2020,Snyder,1,5,Winter DH Germination
88,BS616-79,11086,Full,B,68,2,0,0,6,5,6,12,NA,,,2020,Snyder,1,5,Winter DH Germination
87,BS616-79,11086,Full,B,68,1,0,2,9,6,6,7,NA,,,2020,Snyder,1,5,Winter DH Germination
89,BS710-2,11088,Full,B,69,1,0,6,14,6,2,2,NA,,,2020,Snyder,1,5,Winter DH Germination
90,BS710-2,11088,Full,B,69,2,0,12,7,8,4,0,NA,,,2020,Snyder,1,5,Winter DH Germination
91,BS710-7,11093,Full,B,70,1,0,5,9,6,4,6,NA,,,2020,Snyder,1,5,Winter DH Germination
92,BS710-7,11093,Full,B,70,2,0,4,10,6,7,3,NA,,,2020,Snyder,1,5,Winter DH Germination
93,BS710-8,11094,Full,B,71,1,0,8,9,3,9,6,NA,,,2020,Snyder,1,5,Winter DH Germination
94,BS710-8,11094,Full,B,71,2,1,7,4,3,3,13,NA,,,2020,Snyder,1,5,Winter DH Germination
96,BS710-9,11095,Full,B,72,2,6,14,3,2,1,4,NA,,,2020,Snyder,1,5,Winter DH Germination
95,BS710-9,11095,Full,B,72,1,3,11,5,3,3,5,NA,,,2020,Snyder,1,5,Winter DH Germination
98,Check 1-Flavia,11100,Full,C,74,2,0,12,11,4,1,2,NA,,,2020,Snyder,1,5,Winter DH Germination
97,Check 1-Flavia,11100,Full,C,74,1,1,12,6,5,4,2,NA,,,2020,Snyder,1,5,Winter DH Germination
100,BS710-21,11112,Full,B,75,2,0,0,0,3,3,24,NA,,,2020,Snyder,1,5,Winter DH Germination
99,BS710-21,11112,Full,B,75,1,0,1,1,4,6,18,NA,,,2020,Snyder,1,5,Winter DH Germination
101,BS710-23,11114,Full,B,76,1,0,0,4,1,6,23,NA,,,2020,Snyder,1,5,Winter DH Germination
102,BS710-23,11114,Full,B,76,2,0,0,3,2,5,19,NA,,,2020,Snyder,1,5,Winter DH Germination
103,BS710-27,11118,Full,B,77,1,0,0,1,2,9,23,NA,,,2020,Snyder,1,5,Winter DH Germination
104,BS710-27,11118,Full,B,77,2,0,0,1,2,3,23,NA,,,2020,Snyder,1,5,Winter DH Germination
106,BS710-30,11121,Full,B,79,2,0,2,9,7,5,7,1,,,2020,Snyder,1,5,Winter DH Germination
105,BS710-30,11121,Full,B,79,1,0,3,8,7,5,7,NA,,,2020,Snyder,1,5,Winter DH Germination
108,BS710-33,11124,Full,B,82,2,1,3,2,4,7,12,NA,,,2020,Snyder,1,5,Winter DH Germination
107,BS710-33,11124,Full,B,82,1,1,1,3,13,10,7,NA,,,2020,Snyder,1,5,Winter DH Germination
110,BS710-41,11132,Full,B,86,2,0,0,2,2,8,18,NA,,,2020,Snyder,1,5,Winter DH Germination
109,BS710-41,11132,Full,B,86,1,0,0,1,3,5,21,NA,,,2020,Snyder,1,5,Winter DH Germination
111,BS710-46,11137,Full,B,90,1,0,1,10,10,3,5,NA,,,2020,Snyder,1,5,Winter DH Germination
112,BS710-46,11137,Full,B,90,2,0,6,8,10,2,4,NA,,,2020,Snyder,1,5,Winter DH Germination
114,BS710-48,11139,Full,B,92,2,0,0,0,2,10,18,NA,,,2020,Snyder,1,5,Winter DH Germination
113,BS710-48,11139,Full,B,92,1,0,0,1,5,11,13,NA,,,2020,Snyder,1,5,Winter DH Germination
115,BS710-50,11141,Full,B,94,1,1,11,9,2,4,3,NA,,,2020,Snyder,1,5,Winter DH Germination
116,BS710-50,11141,Full,B,94,2,1,11,7,6,3,2,NA,,,2020,Snyder,1,5,Winter DH Germination
118,BS710-57,11148,Full,B,99,2,0,7,14,4,1,4,NA,,,2020,Snyder,1,5,Winter DH Germination
117,BS710-57,11148,Full,B,99,1,0,6,14,7,1,3,NA,,,2020,Snyder,1,5,Winter DH Germination
119,BS710-58,11149,Full,B,100,1,0,0,6,5,6,13,NA,,,2020,Snyder,1,5,Winter DH Germination
120,BS710-58,11149,Full,B,100,2,0,0,5,6,4,15,NA,,,2020,Snyder,1,5,Winter DH Germination
121,Check 6-Charles,11150,Full,C,101,1,20,10,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
